file_id,relative_path,absolute_path,noise_condition,machine_type,machine_id,label,split,source_recording,segment_start,segment_end,duration_seconds,sample_rate,num_frames,num_channels,file_size_bytes,sha256
fan_id_00_00000000,-6_dB_fan\fan\id_00\abnormal\00000000.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000000.wav,-6_dB,fan,id_00,abnormal,val,00000000,0.0,10.0,10.0,16000,160000,8,2560080,5f0d39f51f349f21be8a8ca3a79ebe94d0e2d34f3a4b330a34ecee41844ad55d
fan_id_00_00000001,-6_dB_fan\fan\id_00\abnormal\00000001.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000001.wav,-6_dB,fan,id_00,abnormal,val,00000001,0.0,10.0,10.0,16000,160000,8,2560080,4ab8bfd5f8bc78fbcc0d5b1f9d473846c95713b397a330ab29e399bbfaac0b0a
fan_id_00_00000002,-6_dB_fan\fan\id_00\abnormal\00000002.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000002.wav,-6_dB,fan,id_00,abnormal,val,00000002,0.0,10.0,10.0,16000,160000,8,2560080,a5ac9abb11b2ece0217ef8cfa1061df6ace10c73a4f6cf2b2a79083c5bd2f521
fan_id_00_00000003,-6_dB_fan\fan\id_00\abnormal\00000003.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000003.wav,-6_dB,fan,id_00,abnormal,val,00000003,0.0,10.0,10.0,16000,160000,8,2560080,80195fdde63f05d6b333ac13e9a44ab24817227363d7a6ae3717b8c44be161df
fan_id_00_00000004,-6_dB_fan\fan\id_00\abnormal\00000004.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000004.wav,-6_dB,fan,id_00,abnormal,val,00000004,0.0,10.0,10.0,16000,160000,8,2560080,18ab7f93093f67cbcb18a1e3c922575110e81da61121e522c44280056321435d
fan_id_00_00000005,-6_dB_fan\fan\id_00\abnormal\00000005.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000005.wav,-6_dB,fan,id_00,abnormal,val,00000005,0.0,10.0,10.0,16000,160000,8,2560080,4499803b2efa6b2d0bcfb6f7ee1a4f12a2f1531f877463d0c7743ca2da5622d6
fan_id_00_00000006,-6_dB_fan\fan\id_00\abnormal\00000006.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000006.wav,-6_dB,fan,id_00,abnormal,val,00000006,0.0,10.0,10.0,16000,160000,8,2560080,3c64f86bc0a79a30e7349424eb20593512d49bb04948dd0955c5aa1bc4c871f2
fan_id_00_00000007,-6_dB_fan\fan\id_00\abnormal\00000007.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000007.wav,-6_dB,fan,id_00,abnormal,val,00000007,0.0,10.0,10.0,16000,160000,8,2560080,6b2588a41ab7f300725e163bca37c9f0ec1dde781a04c2a62201ef49979e7452
fan_id_00_00000008,-6_dB_fan\fan\id_00\abnormal\00000008.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000008.wav,-6_dB,fan,id_00,abnormal,val,00000008,0.0,10.0,10.0,16000,160000,8,2560080,e2a0c9045332228686a2046fef873778c8e0f31bda3c691b84e95d1fb79c76ec
fan_id_00_00000009,-6_dB_fan\fan\id_00\abnormal\00000009.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000009.wav,-6_dB,fan,id_00,abnormal,val,00000009,0.0,10.0,10.0,16000,160000,8,2560080,8f8a701e90a21bf677324947507d82e4313beff8eb4f4924a55f41b02382c042
fan_id_00_00000010,-6_dB_fan\fan\id_00\abnormal\00000010.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000010.wav,-6_dB,fan,id_00,abnormal,val,00000010,0.0,10.0,10.0,16000,160000,8,2560080,0d8029307e9b4f9304f0fc68ef9926e128e3ea91df97dc6b9118ab1e0966e4c4
fan_id_00_00000011,-6_dB_fan\fan\id_00\abnormal\00000011.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000011.wav,-6_dB,fan,id_00,abnormal,val,00000011,0.0,10.0,10.0,16000,160000,8,2560080,2e4b727dba5bcb7a6eb6f84c20619379d6560b10c60c3646700d47a332c17ad5
fan_id_00_00000012,-6_dB_fan\fan\id_00\abnormal\00000012.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000012.wav,-6_dB,fan,id_00,abnormal,val,00000012,0.0,10.0,10.0,16000,160000,8,2560080,feb0cdd1a7bd2051d756ffb502d14f37d3caec5359d3949aac668ffa5dd33387
fan_id_00_00000013,-6_dB_fan\fan\id_00\abnormal\00000013.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000013.wav,-6_dB,fan,id_00,abnormal,val,00000013,0.0,10.0,10.0,16000,160000,8,2560080,043cafb7c9171de6a129364a6537b7ce20acbb88829e5e8dc2ca8cbe8fddf3e4
fan_id_00_00000014,-6_dB_fan\fan\id_00\abnormal\00000014.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000014.wav,-6_dB,fan,id_00,abnormal,val,00000014,0.0,10.0,10.0,16000,160000,8,2560080,8c04cfe3e2e75a6df9fbc46c88766ad1b499bea0c9d68e7368bc709e9395482e
fan_id_00_00000015,-6_dB_fan\fan\id_00\abnormal\00000015.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000015.wav,-6_dB,fan,id_00,abnormal,val,00000015,0.0,10.0,10.0,16000,160000,8,2560080,5ef6885247f0568c3a195c1a99b62fa49d24e3296e42688f01668152ab5d73f0
fan_id_00_00000016,-6_dB_fan\fan\id_00\abnormal\00000016.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000016.wav,-6_dB,fan,id_00,abnormal,val,00000016,0.0,10.0,10.0,16000,160000,8,2560080,06103e41153bd4754e663bec17dde08a6e9c5ffbe6f0cf492a51105cf213eb30
fan_id_00_00000017,-6_dB_fan\fan\id_00\abnormal\00000017.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000017.wav,-6_dB,fan,id_00,abnormal,val,00000017,0.0,10.0,10.0,16000,160000,8,2560080,5c78c862d720b01634a835f59867ad5fefce1ef0d70ca699f2f3b46c5de665a3
fan_id_00_00000018,-6_dB_fan\fan\id_00\abnormal\00000018.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000018.wav,-6_dB,fan,id_00,abnormal,val,00000018,0.0,10.0,10.0,16000,160000,8,2560080,e4b6526845404bc2692789a14571a7824c6525c77cfa457954a856e2577ec6f8
fan_id_00_00000019,-6_dB_fan\fan\id_00\abnormal\00000019.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000019.wav,-6_dB,fan,id_00,abnormal,val,00000019,0.0,10.0,10.0,16000,160000,8,2560080,06e601968a2f524819d5357928faff7b44b0023896f408990d404737b38a0915
fan_id_00_00000020,-6_dB_fan\fan\id_00\abnormal\00000020.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000020.wav,-6_dB,fan,id_00,abnormal,val,00000020,0.0,10.0,10.0,16000,160000,8,2560080,01e1bc59e2d42a56018ddd8b48fa006bb50d51bc73ef058be92f46138632fc50
fan_id_00_00000021,-6_dB_fan\fan\id_00\abnormal\00000021.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000021.wav,-6_dB,fan,id_00,abnormal,val,00000021,0.0,10.0,10.0,16000,160000,8,2560080,bd83a96566ba42ea999ba9efcddf29305bba32748c221267e9fe1a08c7696adb
fan_id_00_00000022,-6_dB_fan\fan\id_00\abnormal\00000022.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000022.wav,-6_dB,fan,id_00,abnormal,val,00000022,0.0,10.0,10.0,16000,160000,8,2560080,a9dc80ab985e4dbd50813c25cea2865f59646708b13c5c09c77ff2a6901b6c2b
fan_id_00_00000023,-6_dB_fan\fan\id_00\abnormal\00000023.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000023.wav,-6_dB,fan,id_00,abnormal,val,00000023,0.0,10.0,10.0,16000,160000,8,2560080,139ee198526639e7bdf187acd5562f5c2ff42a0cf1726208232856fc986b3eb0
fan_id_00_00000024,-6_dB_fan\fan\id_00\abnormal\00000024.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000024.wav,-6_dB,fan,id_00,abnormal,val,00000024,0.0,10.0,10.0,16000,160000,8,2560080,071312560f868595a536013fef5bf92bdb73bdbaf73e8c6ef5123e987ddffb35
fan_id_00_00000025,-6_dB_fan\fan\id_00\abnormal\00000025.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000025.wav,-6_dB,fan,id_00,abnormal,val,00000025,0.0,10.0,10.0,16000,160000,8,2560080,0537e41aaa4ff8df61b37cbbee36e89e22e9e8da5fffe87575daa0b1e92d5f17
fan_id_00_00000026,-6_dB_fan\fan\id_00\abnormal\00000026.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000026.wav,-6_dB,fan,id_00,abnormal,val,00000026,0.0,10.0,10.0,16000,160000,8,2560080,336d7d50ea4ff6eddab9b44073d75959189c7e248d34f6a91ca911e84e8dc080
fan_id_00_00000027,-6_dB_fan\fan\id_00\abnormal\00000027.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000027.wav,-6_dB,fan,id_00,abnormal,val,00000027,0.0,10.0,10.0,16000,160000,8,2560080,e54d1c4a276cd2e17e74b2693a9932b0ff348939b4aa320b54898aab6ae6b597
fan_id_00_00000028,-6_dB_fan\fan\id_00\abnormal\00000028.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000028.wav,-6_dB,fan,id_00,abnormal,val,00000028,0.0,10.0,10.0,16000,160000,8,2560080,1e9ff0503764680f4fbb657c20b9a1ff9ab92a51f9110d2ae9f2929f09a56492
fan_id_00_00000029,-6_dB_fan\fan\id_00\abnormal\00000029.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000029.wav,-6_dB,fan,id_00,abnormal,val,00000029,0.0,10.0,10.0,16000,160000,8,2560080,e76e42597107ade51049c4a6b5871e26087cdb2ea2cf98dc2b31eff451a7b6b1
fan_id_00_00000030,-6_dB_fan\fan\id_00\abnormal\00000030.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000030.wav,-6_dB,fan,id_00,abnormal,val,00000030,0.0,10.0,10.0,16000,160000,8,2560080,3a33c4126a893b983f5a9534deee44a172ca685ff65a83b1840696e6e11d5262
fan_id_00_00000031,-6_dB_fan\fan\id_00\abnormal\00000031.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000031.wav,-6_dB,fan,id_00,abnormal,val,00000031,0.0,10.0,10.0,16000,160000,8,2560080,d3583b0bd0791aa1b562cd1f29152040b853c40fefbd9638d8b118c28bea7d60
fan_id_00_00000032,-6_dB_fan\fan\id_00\abnormal\00000032.wav,E:\MIMII\-6_dB_fan\fan\id_00\abnormal\00000032.wav,-6_dB,fan,id_00,abnormal,val,00000032,0.0,10.0,10.0,16000,160000,8,2560080,48389b15b982a0c6dd0298cd7f3014b7818f4ddb54ea2b690011181953690300
