"evidence_id","source_path","evidence_type","claimed_purpose","relevant_gate_requirement","content_checksum","metadata_checksum","producer","timestamp","trust_level","verification_status","verification_records","contradictions","parent_evidence","import_recommendation"
"chaad-checkpoint-registry","artifacts/publication_baseline/checkpoint_registry.json","AUDIT_REPORT","checkpoint_inventory","checkpoint_inventory","259997a4fbea2880b6b5ae5f95a489c0823135b48b0cd00907554b4b1b3647bf","78201febdf91e782683dffedf6dd7b1e1ad1efe2bec10b1b41442c2b1910a104","legacy-chaad-repository","2026-07-24T06:09:32.047783+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:0ff5c43d-e581-4bea-958c-cda1516f3581;structured-schema:True:cf61e396-c223-442e-83d9-447a629aa48c","","","IMPORT_WITH_SCOPE"
"chaad-configuration","artifacts/publication_baseline/config_snapshot.json","CONFIGURATION","configuration_capture","configuration_capture","a025ab421e90426174f1f2d2562f324af615c229b604fbed4b4d8b7acb0ad6bc","e8d23463e4f8d80a533e27effd12f2489706f6e449665240cff8e72291becdcc","legacy-chaad-repository","2026-07-24T06:09:38.284281+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:d4ce8175-4eb8-4d6c-8b6a-c9933f897285;structured-schema:True:9c7a6768-8900-4f25-8820-846c67b2999c","","","IMPORT_WITH_SCOPE"
"chaad-corrected-validation-export","artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv","METRIC_RECORD","","","9c88cc847630b927ce317399f5805d9c40643375ba6d284d9cb549cb399c4f4b","83f6b527da9dc79a234302cc1a8489887abaabbf8142eb3fe59a9c42b73b52f7","legacy-chaad-repository","2026-07-24T05:57:32.536091+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:2ed6a25d-99ad-45a8-88b1-720974c3c1d8","","","IMPORT_WITH_SCOPE"
"chaad-dataset-card","artifacts/publication_baseline/DATASET_CARD.md","PUBLICATION_ARTIFACT","dataset_card","dataset_card","b71b831a6fe5e597f6f38c8cdd6398728231087ab7278664fac792f03b470a77","45845b599b19532857272002caf6e3849a2d9eb79b9b399852fe089d8d908b5c","legacy-chaad-repository","2026-07-24T06:09:38.471467+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:4a5ef17f-8e2d-476c-a057-b206f670971a","","","IMPORT_WITH_SCOPE"
"chaad-dataset-integrity-full-20260724","migration/chaad/remediation/pmps01_dataset_audit_20260724.json","AUDIT_REPORT","dataset_integrity","dataset_integrity","7faa904642a8f568012671a0a8579eae95b445e28fa1f64d98ef0950086e1a89","28e508eb6db8af24c1b160f8a754d7af7ea6173088b892244eef2b430091cbf8","legacy-chaad-repository","2026-07-24T10:13:49.203093+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:948d4166-94e7-4090-8d9b-028e5fa8e7b1;structured-schema:True:3de4c319-7bbc-4a3b-ae0b-067aaf182a2a","","","IMPORT_WITH_SCOPE"
"chaad-dataset-integrity-partial","artifacts/publication_baseline/dataset_integrity_report.json","AUDIT_REPORT","","","6a022211a069c7c7b0e6e90355123081ca46463fb250bd71bb21ef258a1f6405","13ae14938f939e77723dc1e0628aa9480096b61a43aa2b59e2d498573ec6f94a","legacy-chaad-repository","2026-07-24T06:09:38.279425+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:ff949253-96e5-4c2c-8432-d185b319e055;structured-schema:True:d15cf8f4-8ff4-476b-abad-8793b3b60685","full-corpus checks are UNVERIFIED","","IMPORT_WITH_SCOPE"
"chaad-dataset-inventory","artifacts/publication_baseline/dataset_inventory.json","AUDIT_REPORT","dataset_inventory","dataset_inventory","f163dbc4291ff5ca0d43a147fd28c5e824be05347fbec329de893791c7b79124","762cb9fb7639dd5552c32e0dd838e859771183f163f3ccf12e1563bd2b73f637","legacy-chaad-repository","2026-07-24T06:09:38.279425+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:da5c8798-e4f0-43a3-b6c2-9282f15ad7a5;structured-schema:True:bbf7ed12-843e-4cbd-a378-4c05455bb87d","","","IMPORT_WITH_SCOPE"
"chaad-dataset-manifest","metadata/dataset_manifest.csv","DATASET_MANIFEST","dataset_inventory","dataset_inventory","7c689508cbed4d49d05ec2891b315b27722ff01a8a62b6b1c4f610e3afcd0136","37ff7ead54962c72efc7715c4b90baa2cefbc2046a0f9755919e2a0ed1baccff","legacy-chaad-repository","2026-07-23T04:30:53.978737+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:b063d20f-1c7d-4f7e-ba48-596b7568d82d","","","IMPORT_WITH_SCOPE"
"chaad-environment","artifacts/publication_baseline/environment_full.json","ENVIRONMENT_RECORD","environment_capture","environment_capture","662fd5072703e9ad1a4ff78ea10d04a6ca977a394dac8c0225a595e20ad8c9f2","aaaed39bc9a073714448b3b29a21209cc3876790abce9a523504f169df419c3f","legacy-chaad-repository","2026-07-24T06:09:03.892753+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:4b74ad42-ff54-4386-b60f-d4fc8e752296;structured-schema:True:a725f305-9526-482e-a83e-0499001d6817","","","IMPORT_WITH_SCOPE"
"chaad-experiment-registry","artifacts/publication_baseline/MASTER_EXPERIMENT_REGISTRY.json","EXPERIMENT_EXECUTION","experiment_registry","experiment_registry","e05c30f17ed1c7bdb54ecec6202f3aa08f9f2d349e43fce6c5e5c3ad910a32b4","83138bf2abd91bffbc6da65411fc6615b0120086657c8f8cd6e4cbb0e7ae1ca0","legacy-chaad-repository","2026-07-24T06:09:38.457701+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:a4599e89-e7a3-40f9-9404-36f9d77c263d;structured-schema:True:b11230ac-10dc-4482-888c-86703910b966","","","IMPORT_WITH_SCOPE"
"chaad-export-correction-audit","artifacts/EXP-CHAAD-001/prediction_export_validation.json","AUDIT_REPORT","","","301b8bbd1a3da8fcf959a463d9822d879f8cd1ea5e5b86295a460624ab169934","f5f5e5474f4d39ba5584962bc8f0324ef68e35ca5d45924e92023c9fdf18a688","legacy-chaad-repository","2026-07-24T05:57:32.538098+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:0caf8c49-0508-4b75-a611-2a50365b2f02;structured-schema:True:ede02f41-ecd9-4578-9104-4915cebdb365","","","IMPORT_WITH_SCOPE"
"chaad-git-snapshot","artifacts/publication_baseline/git_snapshot.json","SOURCE_REVISION","git_capture","git_capture","e3e661bed74923fa35ee7dbffa0b36831eff11e796089c08bcaf244f25357a42","3f0a572bd1f2fef4d2840762ec21f1410043d56081308edae2b998b1ffb3614c","legacy-chaad-repository","2026-07-24T06:09:38.455363+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:eba16620-75e3-4e63-815e-8fedb730c622;structured-schema:True:ab0ee7d5-19ea-4762-a1d9-a1bec27c1441","","","IMPORT_WITH_SCOPE"
"chaad-governance","artifacts/publication_baseline/RESEARCH_GOVERNANCE.md","PUBLICATION_ARTIFACT","governance","governance","0999efa696424c1cca5079ddc3aeeca5ea73f3d981dd8559961eda3222048532","5f62290c878f536f397bfe8e52391308bdeddfb8c4df48321a9d605c2ac3227f","legacy-chaad-repository","2026-07-24T06:09:38.471467+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:155c3b96-18a7-46c9-bc31-54eecb675053","","","IMPORT_WITH_SCOPE"
"chaad-historical-pmps01-fail","artifacts/publication_baseline/pmps01_gate.json","AUDIT_REPORT","","","c802d881509fb8fb71f6c518d33b7015982fb3a64e2f013aca1fb50703fd3c99","0d742bb5a7896971187ccf185dc4662f19b9e2cdf6c3c980df8a00bd6a513f1f","legacy-chaad-repository","2026-07-24T06:09:38.478386+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:634ad06c-d8b6-4214-bc5b-7319387fa8cb;structured-schema:True:3ea30f74-54c4-47ef-8eff-107304d2a64f","historical FAIL is preserved but not imported as current state","","IMPORT_WITH_SCOPE"
"chaad-invalid-validation-export","artifacts/EXP-CHAAD-001/validation_predictions.csv","METRIC_RECORD","","","bee40c84a218cd460b1eab5b280e2628d561e00ea89b045ea0ec3b9a29f8af20","06ff3cfbb6348014b43df9f911e321135cf2a1c04020ca9a97bb6a507fd7ef56","legacy-chaad-repository","2026-07-23T04:15:19.409991+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:b4c2cfdb-cf09-4f42-8a6a-2a31cbc55c88","INVALID","","PRESERVE_AS_INVALID"
"chaad-model-card","artifacts/publication_baseline/MODEL_CARD.md","PUBLICATION_ARTIFACT","model_card","model_card","5368d68b398cb4c2e6abf5a5cd3f0cced8620b31706627e9ffd023b75a5038e9","c600e88e192a9cb5db7dfbca65a10f5277081216efe244ec896f6b24634b2cc0","legacy-chaad-repository","2026-07-24T06:09:38.457701+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:5ee24608-db09-4a5e-b8b7-ded54bb5b625","","","IMPORT_WITH_SCOPE"
"chaad-publication-baseline","artifacts/publication_baseline/PUBLICATION_BASELINE.md","PUBLICATION_ARTIFACT","publication_baseline","publication_baseline","e330f09156b04db585ef5b0af49d3b0775aa550efbc32dcde0fa2cf10c5df9ef","99a2fd745f5ffcb4450786f58c0b6fff1fff39be75f492198fcbb3bff4b7bdd9","legacy-chaad-repository","2026-07-24T06:09:38.478386+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:531d7641-9f6d-4c2d-b4c8-eb9689a5868b","","","IMPORT_WITH_SCOPE"
"chaad-repository-inventory","artifacts/publication_baseline/repository_inventory.json","AUDIT_REPORT","repository_inventory","repository_inventory","849f39576bed3b3c5540a72d5355df66fec570d39c96adbe23f2128afda6ff02","880bac91498fa8dc3d082f072f51d1141120ddc821c9404ddcd6e1adb8e2915f","legacy-chaad-repository","2026-07-24T06:08:54.344441+00:00","LEGACY_OR_MIGRATION_ARTIFACT","VERIFIED","file-checksum:True:0d0ec768-e80d-4761-ac92-120c68e69bd2;structured-schema:True:8bb1ac99-2279-45b8-b95a-82c42af8b96c","","","IMPORT_WITH_SCOPE"
