"relative_path","category","size_bytes","last_write_utc","sha256","hash_status","classification"
".devin/workflows/bypass.md",".devin","0","2026-07-23T04:16:01.7955020Z","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
".devin/workflows/mode.md",".devin","0","2026-07-23T04:16:24.6387283Z","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
".dockerignore","root","807","2026-07-20T09:46:10.3889173Z","3171aed3d88de24494807ae771771aee0d4a80ee0c7932fa4258dbb75bb74e4b","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
".gitignore","root","1491","2026-07-20T09:46:10.3986388Z","ac4e9bedc631dc54517a7623f9d99568b77fc4354e2a54f43343b9d0f739baf7","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"_audit_check.py","root","23260","2026-07-21T06:28:55.7186478Z","4c2cdde98252e6ac48cd4473a9dac90892e611f26f86a334246c344b2fc96e26","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"_audit_verify_split.py","root","1891","2026-07-21T06:49:12.6743262Z","5f00bf73469287f24e08224fa0a1fa7bfdd8c7d01e73878c13d8588410601bfa","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"_check_cuda.py","root","662","2026-07-21T11:59:57.1181403Z","29cfae57dbf20f1b7b0f63de9a30639ddba7c2bc3b02fcadebeaac86a30c88eb","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"AGENTS.md","root","5369","2026-07-21T11:27:12.5493262Z","c932f9a6582599c8a2c36eebcf5176df1408c9c285a201015b8bb1a4c27fbfbf","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"app.py","root","21806","2026-07-20T09:46:10.4161289Z","d7cfc5b45efb4f70ee39735331ca498c08bacf7d1e9b7f3a14737035fa38ed0e","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"artifacts/baselines/diagnostic_baselines.json","artifacts","761","2026-07-23T04:23:16.6863989Z","9fc0653811377cc0592e626cf705f8ed9371d41dcb9f724e11033fd399468b94","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"artifacts/calibration_metadata.json","artifacts","1413","2026-07-21T06:28:55.7217967Z","4e117f085f9fb1f02fd3717fdf0df0a0c82fc0870347b930697ae53661ce2ba9","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"artifacts/environment_report.json","artifacts","739","2026-07-21T06:28:55.7249842Z","480c4cd2a78ce085098a9c6d689628162d4bf818afeb30351ae29d5ae9191af7","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"artifacts/EXP-CHAAD-001/checkpoint.pt","artifacts","261427078","2026-07-21T14:14:12.0719293Z","","NOT_REHASHED_LARGE_FILE","PRE_MIGRATION_CHAAD_FILE"
"artifacts/EXP-CHAAD-001/checkpoint.sha256","artifacts","65","2026-07-23T04:02:53.3773342Z","692ab90a4d9efa8640812929570c72fdb776c1493949431bc1309c879b5af4ad","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
"artifacts/EXP-CHAAD-001/config_snapshot.json","artifacts","2233","2026-07-24T04:31:04.9841879Z","5b32bdcc52ed5f4881492220fab8435f82f66bc3a5a7b348f19c530654b49375","COMPUTED_CURRENT","PRE_MIGRATION_CHAAD_FILE"
