"path","asset_type","size_bytes","modified_time","sha256","likely_purpose","associated_experiment","scientific_relevance","current_usability","validation_status","problems_detected"
".devin/workflows/bypass.md","narrative_or_log","0","2026-07-23T04:16:01.7955020Z","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE","Byte-identical duplicate group: .devin/workflows/bypass.md; .devin/workflows/mode.md; migration/chaad/remediation/pmps01_dataset_audit.stderr.log"
".devin/workflows/mode.md","narrative_or_log","0","2026-07-23T04:16:24.6387283Z","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE","Byte-identical duplicate group: .devin/workflows/bypass.md; .devin/workflows/mode.md; migration/chaad/remediation/pmps01_dataset_audit.stderr.log"
".dockerignore","other","807","2026-07-20T09:46:10.3889173Z","3171aed3d88de24494807ae771771aee0d4a80ee0c7932fa4258dbb75bb74e4b","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
".gitignore","other","1585","2026-07-24T10:11:45.4241377Z","3e32e1ca8144cdcc6ae3a3ca01810cd84e63eb5374365ab6738fc915ea0b203a","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
".pytest_cache/.gitignore","other","37","2026-07-20T10:23:51.1412636Z","3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd","Temporary or cache output","","None","Exclude from publication","STALE",""
".pytest_cache/CACHEDIR.TAG","other","191","2026-07-20T10:23:51.1432709Z","37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4","Temporary or cache output","","None","Exclude from publication","STALE",""
".pytest_cache/README.md","narrative_or_log","302","2026-07-20T10:23:51.1387615Z","73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
".pytest_cache/v/cache/lastfailed","other","2","2026-07-24T09:42:51.7949783Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","Temporary or cache output","","None","Exclude from publication","STALE",""
".pytest_cache/v/cache/nodeids","other","5593","2026-07-24T11:14:40.0500668Z","3f43cf936011a28250d102d59a81bb07ef2bcbfec2c152c630901c5acdc8844a","Temporary or cache output","","None","Exclude from publication","STALE",""
".ros/evidence.jsonl","other","43474","2026-07-24T10:14:46.5328920Z","733f15ccf1559daa6de5dcf3b926d94d87ffb15f214ff2806380c040721ce882","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
".ros/registry.db","other","32768","2026-07-24T09:58:04.5459111Z","01f07c12a6a80e9848b0478ebf58ef365b2af7a4efd0bb0d235a4bc9fa998324","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
".ros/workflow-audit.jsonl","other","1432","2026-07-24T09:58:04.5927660Z","c18726d279237b8127c5284786895dd3de60053dbcda37aee0a8d1a2f228ab63","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
".ros/workflow-state.json","machine_readable_report_or_registry","1071","2026-07-24T10:14:46.5328920Z","e3976917504d1d010897cecec4f4c817a73af2f776b45f8a2bf1cb8888e0cbb5","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"__pycache__/config.cpython-310.pyc","other","4499","2026-07-23T04:25:59.1498272Z","6ba7fe5eb2609b4536b89fa36a13f33468abc178efba32e11577bec2c1f8bdc1","Temporary or cache output","","None","Exclude from publication","STALE",""
"__pycache__/config.cpython-311.pyc","other","6549","2026-07-21T11:17:43.0921312Z","b661248fd5bb5b0268f21c6e5cb1c59db6289c9abab258a47c9a14acea2064d5","Temporary or cache output","","None","Exclude from publication","STALE",""
"_audit_check.py","source_code","23260","2026-07-21T06:28:55.7186478Z","4c2cdde98252e6ac48cd4473a9dac90892e611f26f86a334246c344b2fc96e26","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"_audit_verify_split.py","source_code","1891","2026-07-21T06:49:12.6743262Z","5f00bf73469287f24e08224fa0a1fa7bfdd8c7d01e73878c13d8588410601bfa","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"_check_cuda.py","source_code","662","2026-07-21T11:59:57.1181403Z","29cfae57dbf20f1b7b0f63de9a30639ddba7c2bc3b02fcadebeaac86a30c88eb","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"AGENTS.md","narrative_or_log","5369","2026-07-21T11:27:12.5493262Z","c932f9a6582599c8a2c36eebcf5176df1408c9c285a201015b8bb1a4c27fbfbf","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"app.py","source_code","21806","2026-07-20T09:46:10.4161289Z","d7cfc5b45efb4f70ee39735331ca498c08bacf7d1e9b7f3a14737035fa38ed0e","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"artifacts/baselines/diagnostic_baselines.json","machine_readable_report_or_registry","761","2026-07-23T04:23:16.6863989Z","9fc0653811377cc0592e626cf705f8ed9371d41dcb9f724e11033fd399468b94","Diagnostic baseline results","","Diagnostic result","Archive/diagnosis only","PROVISIONALLY USABLE","Input protocol incomplete; not publication grade"
"artifacts/calibration_metadata.json","machine_readable_report_or_registry","1413","2026-07-21T06:28:55.7217967Z","4e117f085f9fb1f02fd3717fdf0df0a0c82fc0870347b930697ae53661ce2ba9","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/environment_report.json","machine_readable_report_or_registry","739","2026-07-21T06:28:55.7249842Z","480c4cd2a78ce085098a9c6d689628162d4bf818afeb30351ae29d5ae9191af7","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/EXP-CHAAD-001/checkpoint.pt","checkpoint","261427078","2026-07-21T14:14:12.0719293Z","7d58293ea5138b730811bb261de0b971a8a5e4e52665961b48f2f4a4d85ad7e9","Selected EXP-CHAAD-001 checkpoint evidence","EXP-CHAAD-001","Direct model artifact","Diagnostic reuse after validation","PROVISIONALLY USABLE","Single underfit run; incomplete exact provenance"
"artifacts/EXP-CHAAD-001/checkpoint.sha256","other","65","2026-07-23T04:02:53.3773342Z","692ab90a4d9efa8640812929570c72fdb776c1493949431bc1309c879b5af4ad","Selected EXP-CHAAD-001 checkpoint evidence","EXP-CHAAD-001","Direct model artifact","Diagnostic reuse after validation","PROVISIONALLY USABLE","Single underfit run; incomplete exact provenance"
"artifacts/EXP-CHAAD-001/config_snapshot.json","machine_readable_report_or_registry","2233","2026-07-24T04:31:04.9841879Z","5b32bdcc52ed5f4881492220fab8435f82f66bc3a5a7b348f19c530654b49375","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/environment.json","machine_readable_report_or_registry","1475","2026-07-24T04:31:05.8632810Z","a2122b1519a0697a9abed4bfc8eab9380f7ae45759384c56dedad2b27af3b90f","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/evaluation_audit.json","machine_readable_report_or_registry","4671","2026-07-24T05:57:32.7453592Z","c054b8e77b0884444acb0fe9064535eab9f45cf33dd54367b70ccd1f07588d65","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/evaluation_audit.md","narrative_or_log","4854","2026-07-24T05:58:39.7759845Z","f50e30d1db7bc71abfc0c2fdb245f5720f4ae4333829eb11cf648c38f9c12ec5","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/git_commit.txt","narrative_or_log","41","2026-07-23T04:02:53.7303593Z","01c51cf6a783825b6a68a6221715d90f8db79bd8829f3fb71b9043b4eb94598f","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/independent_metrics.json","machine_readable_report_or_registry","777","2026-07-23T04:15:19.4243290Z","2319a41d661703ef9a9841d1009f01c593d132adf022ad61631c902550950696","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/independent_metrics_corrected.json","machine_readable_report_or_registry","1020","2026-07-24T05:57:32.6507336Z","8a073c0db673ad5e358c4251539c1da712200e56443dfba99aa2dc6c318fbcb7","Corrected validation evidence","EXP-CHAAD-001","Direct validation evidence","Reuse as validation-only evidence","VALIDATED",""
"artifacts/EXP-CHAAD-001/manifest_checksum.txt","narrative_or_log","65","2026-07-24T04:34:50.8504671Z","f666b732d104ec42f0388f7c2f0d96e42f61e8af774ed6b1a6139a27a5db4a6a","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/prediction_export_determinism.json","machine_readable_report_or_registry","400","2026-07-24T05:57:32.5744818Z","d1bebb8f86e5c1afd6f547fd59a846a85cf3a524a364d182e14e79f0f6bc20b2","Corrected validation evidence","EXP-CHAAD-001","Direct validation evidence","Reuse as validation-only evidence","VALIDATED",""
"artifacts/EXP-CHAAD-001/prediction_export_validation.json","machine_readable_report_or_registry","1040","2026-07-24T05:57:32.5380979Z","301b8bbd1a3da8fcf959a463d9822d879f8cd1ea5e5b86295a460624ab169934","Corrected validation evidence","EXP-CHAAD-001","Direct validation evidence","Reuse as validation-only evidence","VALIDATED",""
"artifacts/EXP-CHAAD-001/provenance.json","machine_readable_report_or_registry","2562","2026-07-24T04:34:51.6733385Z","aea28dc5a95bca6500fb5d7c6fadc90399837b64f00644c01b271490ce2df9dc","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/README.md","narrative_or_log","3102","2026-07-24T04:34:52.4994381Z","c7699e92893fc199b9b74d2d18df9d9ee61189cadff24cad77e277112f817633","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/subgroup_metrics.json","machine_readable_report_or_registry","527","2026-07-23T04:15:19.4270231Z","9f0bd3b24399769528c9ad3bc2133692caef4d84a41023e0052f2338a96d62a5","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/subgroup_metrics_corrected.json","machine_readable_report_or_registry","528","2026-07-24T05:57:32.6532163Z","ff7fe371b51c518d5bbdbd0b713cfbd6d5e88051e5c951573705ae7ee6e3c54e","Corrected validation evidence","EXP-CHAAD-001","Direct validation evidence","Reuse as validation-only evidence","VALIDATED",""
"artifacts/EXP-CHAAD-001/training_audit.json","machine_readable_report_or_registry","459602","2026-07-24T04:39:32.7733324Z","cd46ef70a340d82638cc4ec43020ee8a967c9227c4e7a1735b3ddeef9bc778d2","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_audit.md","narrative_or_log","5883","2026-07-24T04:39:28.1023651Z","645f5c82b25c45c97fbfd4db7acd1da8ef4ed23fcb15c8e6274cf1dd7573ba39","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_command.txt","narrative_or_log","169","2026-07-24T04:31:09.0825766Z","0b0389dd37092ae3c22e78603b716718e9a5e6eecd71f9d46987ad2ac909bc74","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_curves/learning_rate.png","figure_or_rendered_asset","48522","2026-07-24T04:38:46.7666818Z","bd74a15b66cb0c214e66a1a7adcc701d47a845fb1e1da29a2673d9eadccbefc6","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_curves/training_loss.png","figure_or_rendered_asset","80112","2026-07-24T04:38:46.3357094Z","ae10c41a1ff71725f127fccaadea6ea49c5c8a46ce323fc836a21bc593a44855","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_curves/validation_auc.png","figure_or_rendered_asset","65789","2026-07-24T04:38:46.6199536Z","0edfa70685cec5712a96e78ed2e2d95519fd54f085bfabce3ce91ffd449257a2","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_curves/validation_loss.png","figure_or_rendered_asset","58446","2026-07-24T04:38:46.4732138Z","6efa7f33031c65f0b23ac38b7400e640c2f533c45ec709dcbe8ae15c82b2e7f8","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/training_summary.json","machine_readable_report_or_registry","2214","2026-07-24T04:31:07.5488737Z","ba4eff1a2da1aaef0fc859bdcd05e53f709aa2df9b6c07c9b7fd2c53d550b387","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/validation_metrics.json","machine_readable_report_or_registry","1004","2026-07-24T04:31:08.3033289Z","ce242fcb2e7d902ab0c5a2faa65dc7c66f40c626d50eb101134d5bb71b9212d5","EXP-CHAAD-001 preservation artifact","EXP-CHAAD-001","Experiment reconstruction","Use subject to artifact-specific audit","PROVISIONALLY USABLE",""
"artifacts/EXP-CHAAD-001/validation_predictions.csv","prediction_export","3085073","2026-07-23T04:15:19.4099913Z","bee40c84a218cd460b1eab5b280e2628d561e00ea89b045ea0ec3b9a29f8af20","Historical validation export","EXP-CHAAD-001","Forensic evidence","Archive only","CORRUPTED","30 duplicated sample IDs; 60 affected rows"
"artifacts/EXP-CHAAD-001/validation_predictions_corrected.csv","prediction_export","5226938","2026-07-24T05:57:32.5360913Z","9c88cc847630b927ce317399f5805d9c40643375ba6d284d9cb549cb399c4f4b","Corrected validation evidence","EXP-CHAAD-001","Direct validation evidence","Reuse as validation-only evidence","VALIDATED",""
"artifacts/experiment_provenance.json","machine_readable_report_or_registry","576","2026-07-27T06:26:36.2298605Z","fac6fa40c123caa48e8ab33d56149ceb07de71bcf43db1d55e9c83d6315aa459","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/final_test_lock.json","machine_readable_report_or_registry","1772","2026-07-21T06:28:55.7249842Z","ddb3c6366947a719a125efca2eeb940b50606f2207ebe4e5e9e524a6a6634771","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/models/manifest.json","machine_readable_report_or_registry","1058","2026-07-20T09:46:10.4251611Z","7404e0a1541d350c67b1911bdd858ca3bb563e6d2f03638ece8e83e6c41f9055","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/models/manifest.json; artifacts/pre_validation_backup/manifest.json"
"artifacts/normalization_metadata.json","machine_readable_report_or_registry","1003","2026-07-21T06:28:55.7249842Z","0ce0a5bef2a19f0ff8fe9f4a5ca883002dba842f293de9a019057ab625d35aad","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/pre_validation_backup/calibration_report.json","machine_readable_report_or_registry","2115","2026-07-20T09:46:10.4452374Z","2fa9ceffede7d08c305b5a416b35234d7e5006b7ff31608ab4800788f5205041","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/pre_validation_backup/calibration_report.json; checkpoints/calibration_report.json"
"artifacts/pre_validation_backup/calibration_report.txt","narrative_or_log","1243","2026-07-20T09:46:10.4538461Z","fc1697933a85a240d084ce4976e7e904e1708ed05168c2f65d00d40b95c06ff1","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE","Byte-identical duplicate group: artifacts/pre_validation_backup/calibration_report.txt; checkpoints/calibration_report.txt"
"artifacts/pre_validation_backup/eval_report.json","machine_readable_report_or_registry","546","2026-07-20T09:46:10.4570928Z","6d75ccc813aacacacecf4407746604d55bf06ae10b9e3fdc0aea6b9e70902790","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/pre_validation_backup/eval_report.json; checkpoints/eval_report.json"
"artifacts/pre_validation_backup/manifest.json","machine_readable_report_or_registry","1058","2026-07-20T09:46:10.4251611Z","7404e0a1541d350c67b1911bdd858ca3bb563e6d2f03638ece8e83e6c41f9055","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/models/manifest.json; artifacts/pre_validation_backup/manifest.json"
"artifacts/publication_baseline/checkpoint_registry.json","machine_readable_report_or_registry","48912","2026-07-24T06:09:32.0477831Z","259997a4fbea2880b6b5ae5f95a489c0823135b48b0cd00907554b4b1b3647bf","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/config_snapshot.json","machine_readable_report_or_registry","2043","2026-07-24T06:09:38.2842810Z","a025ab421e90426174f1f2d2562f324af615c229b604fbed4b4d8b7acb0ad6bc","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/DATASET_CARD.md","narrative_or_log","958","2026-07-24T06:09:38.4714665Z","b71b831a6fe5e597f6f38c8cdd6398728231087ab7278664fac792f03b470a77","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"artifacts/publication_baseline/dataset_integrity_report.json","machine_readable_report_or_registry","1044","2026-07-24T06:09:38.2794248Z","6a022211a069c7c7b0e6e90355123081ca46463fb250bd71bb21ef258a1f6405","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/dataset_inventory.json","machine_readable_report_or_registry","1063","2026-07-24T06:09:38.2794248Z","f163dbc4291ff5ca0d43a147fd28c5e824be05347fbec329de893791c7b79124","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/environment_full.json","machine_readable_report_or_registry","9724","2026-07-24T06:09:03.8927529Z","662fd5072703e9ad1a4ff78ea10d04a6ca977a394dac8c0225a595e20ad8c9f2","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/git_snapshot.json","machine_readable_report_or_registry","10868","2026-07-24T06:09:38.4553631Z","e3e661bed74923fa35ee7dbffa0b36831eff11e796089c08bcaf244f25357a42","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/MASTER_EXPERIMENT_REGISTRY.json","machine_readable_report_or_registry","2021","2026-07-24T06:09:38.4577012Z","e05c30f17ed1c7bdb54ecec6202f3aa08f9f2d349e43fce6c5e5c3ad910a32b4","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
